Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters
04/01/2003 12:00:00 AM,4,28603,71330,,,
04/01/2003 12:00:00 AM,5,19007,61968,,,
04/01/2003 12:00:00 AM,6,27929,66537,,,
04/01/2003 12:00:00 AM,7,30518,60336,,,
04/01/2003 12:00:00 AM,8,39112,63653,,,
04/01/2003 12:00:00 AM,9,24416,54409,,,
04/01/2003 12:00:00 AM,10,20226,57797,,,
04/01/2003 12:00:00 AM,11,28748,64424,,,
04/01/2003 12:00:00 AM,12,26947,70290,,,
04/01/2003 12:00:00 AM,13,24173,66878,,,
04/01/2003 12:00:00 AM,14,19209,57490,,,
04/01/2004 12:00:00 AM,1,30989,75625,,,
04/01/2004 12:00:00 AM,2,25391,74396,,,
04/01/2004 12:00:00 AM,3,27398,77018,,,
04/01/2004 12:00:00 AM,4,28181,73104,,,
04/01/2004 12:00:00 AM,5,19020,60487,,,
04/01/2004 12:00:00 AM,6,29749,70100,,,
04/01/2004 12:00:00 AM,7,31143,60188,,,
04/01/2004 12:00:00 AM,8,39488,62050,,,
04/01/2004 12:00:00 AM,9,28806,61249,,,
04/01/2004 12:00:00 AM,10,20767,56469,,,
04/01/2004 12:00:00 AM,11,29086,64531,,,
04/01/2004 12:00:00 AM,12,28451,72622,,,
04/01/2004 12:00:00 AM,13,25813,68315,,,
04/01/2004 12:00:00 AM,14,19419,57341,,,
04/01/2005 12:00:00 AM,1,33061,80097,,,
04/01/2005 12:00:00 AM,2,25827,75513,,,
04/01/2005 12:00:00 AM,3,29275,83082,,,
04/01/2005 12:00:00 AM,4,28243,72393,,,
04/01/2005 12:00:00 AM,5,19095,59814,,,
04/01/2005 12:00:00 AM,6,31417,73882,,,
04/01/2005 12:00:00 AM,7,31308,60632,,,
04/01/2005 12:00:00 AM,8,40638,63647,,,
04/01/2005 12:00:00 AM,9,29321,60677,,,
04/01/2005 12:00:00 AM,10,20877,56231,,,
04/01/2005 12:00:00 AM,11,29593,64669,,,
04/01/2005 12:00:00 AM,12,30134,76141,,,
04/01/2005 12:00:00 AM,13,27320,72021,,,
04/01/2005 12:00:00 AM,14,19670,57279,,,
04/01/2006 12:00:00 AM,1,34828,85303,,,
04/01/2006 12:00:00 AM,2,26169,76791,,,
04/01/2006 12:00:00 AM,3,31703,91425,,,
04/01/2006 12:00:00 AM,4,28286,72746,,,
04/01/2006 12:00:00 AM,5,19139,60784,,,
04/01/2006 12:00:00 AM,6,33011,77329,,,
04/01/2006 12:00:00 AM,7,31506,61520,,,
